rowname,my_crossing_reference,source,easting,northing,utm_easting,utm_northing
1,NA,pscis_phase2.xlsm,NA,NA,NA,NA
2,1800048,pscis_phase2.xlsm,NA,NA,674397.1360563415,6043432.53148384
3,1800193,pscis_phase2.xlsm,NA,NA,674875.4185071159,6043782.035530129
4,NA,pscis_phase2.xlsm,NA,NA,NA,NA
5,NA,pscis_phase2.xlsm,NA,NA,NA,NA
6,1800050,pscis_phase2.xlsm,NA,NA,692434.6007529498,6032330.509748365
7,NA,pscis_phase2.xlsm,NA,NA,NA,NA
8,14000798,pscis_phase2.xlsm,NA,NA,643460.2936410103,6025889.542263873
9,NA,pscis_phase2.xlsm,NA,NA,NA,NA
10,14001094,pscis_phase2.xlsm,NA,NA,623368.9937288257,6000282.979878828
11,NA,pscis_phase2.xlsm,NA,NA,NA,NA
12,NA,pscis_phase2.xlsm,NA,NA,NA,NA
13,NA,pscis_phase2.xlsm,NA,NA,NA,NA
14,NA,pscis_phase2.xlsm,NA,NA,NA,NA
15,NA,pscis_phase2.xlsm,NA,NA,NA,NA
16,1802488,pscis_phase2.xlsm,NA,NA,640243.9147929499,6048061.004104231
17,NA,pscis_phase2.xlsm,NA,NA,NA,NA
18,123776,pscis_phase2.xlsm,NA,NA,NA,NA
19,123544,pscis_phase2.xlsm,NA,NA,NA,NA
20,1801166,pscis_phase2.xlsm,NA,NA,675438.9458671,6044630.076258472
21,14000865,pscis_phase2.xlsm,606426.18,5986782,606426.18,5986782
22,14001161,pscis_phase2.xlsm,NA,NA,605511.0192097763,5992667.038672649
23,1801122,pscis_phase2.xlsm,NA,NA,680832.00003985,6040044.96251811
24,1800355,pscis_phase2.xlsm,NA,NA,680644.7679826692,6039755.554755146
25,1805553,pscis_phase2.xlsm,NA,NA,611695.8397085706,6082109.101618306
26,24704566,pscis_phase2.xlsm,NA,NA,605785.5589380437,6099883.827117267
27,2021083002,pscis_phase2.xlsm,687557,6020572,687557,6020572
28,1802106,pscis_phase2.xlsm,NA,NA,670963.0458371894,6046221.19780876
29,14000562,pscis_phase2.xlsm,NA,NA,608138.0888582047,6020911.1990954485
